org_name,org_description,technology,topics,official_link,gsoc_link
The ns-3 Network Simulator Project,ns-3 is a simulation tool for computer networks.,"python, django, c++","computer networking, network simulation",https://www.nsnam.org,https://summerofcode.withgoogle.com/programs/2023/organizations/the-ns-3-network-simulator-project
checkstyle,Helps to adheres of Java coding standard,"java, antlr","static code analysis‎, code review tool, coding standards, coding conventions",https://checkstyle.org,https://summerofcode.withgoogle.com/programs/2023/organizations/checkstyle
Ivy (lets-unify.ai),"All of AI, at your Fingertips.","python, cython, tensorflow, pytorch, Jax","machine learning, artificial intelligence, computation graph, code conversion, unified API",https://lets-unify.ai,https://summerofcode.withgoogle.com/programs/2023/organizations/ivy-lets-unifyai
SageMath,Open-source mathematics software system,"python, cython","mathematics, education, research",https://www.sagemath.org,https://summerofcode.withgoogle.com/programs/2023/organizations/sagemath
KubeVirt,Building a virtualization API for Kubernetes,"golang, grpc","virtualization, containers, kubernetes",https://kubevirt.io,https://summerofcode.withgoogle.com/programs/2023/organizations/kubevirt
PEcAn Project,Develop and promote tools for ecosystem modeling,"r, docker, api, geospatial","data science, ecosystem models, scientific visualization, climate science, Ecological Forecasting,",https://pecanproject.github.io/,https://summerofcode.withgoogle.com/programs/2023/organizations/pecan-project
ArduPilot,World's most advanced autonomous vehicle software,"python, lua, c++, pixhawk","robotics, Drone, autonomous vehicle, UGV, unmanned vehicle",https://ardupilot.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/ardupilot
freifunk,Free and open wireless networks,"c, python, javascript, openwrt, gnu/linux","embedded systems, open hardware, routing, wireless networks, federation",https://freifunk.net/en,https://summerofcode.withgoogle.com/programs/2023/organizations/freifunk
OpenCV,++ beneficial uses of computer vision in society,"python, c++, deep learning, ai","robotics, computer vision, ai, deep learning",https://opencv.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/opencv
QEMU,Open source machine emulator and virtualizer,"c, python, linux, rust","systems programming, kernel, compiler, emulator, hypervisor",https://qemu.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/qemu
Invesalius,3D Medical visualization and neuronavigation tool,"python, cython, numpy, dicom, Vtk","ehealth, medical imaging, 3D Reconstruction, 3d printing, Neuronavigation",https://invesalius.github.io/,https://summerofcode.withgoogle.com/programs/2023/organizations/invesalius
MZmine and MS-DIAL,Open-source software for mass spectrometry,"java, c#, javafx","data science, graphics, cheminformatics, mass spectrometry, feature detection",https://mzmine-ms-dial-gsoc.github.io/,https://summerofcode.withgoogle.com/programs/2023/organizations/mzmine-and-ms-dial
Ceph,The Future of Storage,"python, javascript, c++","distributed systems, Software-Defined-Storage",https://ceph.io/en/,https://summerofcode.withgoogle.com/programs/2023/organizations/ceph
CloudCV,Building platforms for reproducible AI Research,"python, django, docker, angularjs, aws","machine learning, artificial intelligence, computer vision, deep learning, AI/ML",https://cloudcv.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/cloudcv
UC OSPO,Amplifying Research Impact through Open Source,"python, c/c++, visualization, VLSI, ros/gazebo","hardware, data science, reproducibility, storage systems, data management",https://ospo.ucsc.edu/osre,https://summerofcode.withgoogle.com/programs/2023/organizations/uc-ospo
