org_name,org_description,technology,topics,official_link,gsoc_link
TARDIS RT Collaboration,Exploring supernovae made easy,"python, numba, numpy, jupyter, pandas","visualization, big data, simulation, astrophysics",https://tardis-sn.github.io,https://summerofcode.withgoogle.com/programs/2023/organizations/tardis-rt-collaboration
Apertium,A free/open-source machine translation platform,"python, javascript, c++, xml, bash","natural language processing, machine translation, language technology, less-resources languages",https://apertium.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/apertium
XMPP Standards Foundation,XSF develops an open-standard messaging protocol,"vala, xmpp, swift, dart, Objective C","instant messaging, chat, WebRTC, Jingle, Real-Time Communication",https://xmpp.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/xmpp-standards-foundation
RTEMS Project,A real-time operating system for Earth & Space,"python, c/c++, assembly, posix","kernel, embedded, real-time, multicore, rtos",https://www.rtems.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/rtems-project
Django Software Foundation,Web framework for perfectionists with deadlines,"python, django","web, python",https://www.djangoproject.com,https://summerofcode.withgoogle.com/programs/2023/organizations/django-software-foundation-8o
The Julia Language,A fresh approach to technical computing,"machine learning, julia, data science, gui, models","math, machine learning, science, data science, graphs",https://julialang.org,https://summerofcode.withgoogle.com/programs/2023/organizations/the-julia-language
FOSSology,Open Source License Compliance by OSS,"python, postgresql, c/c++, go, php","automation, spdx, license compliance, nlp, compliance automation",https://fossology.org,https://summerofcode.withgoogle.com/programs/2023/organizations/fossology
Processing Foundation,To empower all people to learn to program,"python, javascript, android, java, opengl","education, web, graphics, creative coding, design",http://processingfoundation.org,https://summerofcode.withgoogle.com/programs/2023/organizations/processing-foundation
Keploy,E2E test generation and mocking toolkit,"java, golang, node, MERN, epbf","API Testing, No code platform, Dev Tool, Functional Testing, Mock and Stubs Generation",https://keploy.io,https://summerofcode.withgoogle.com/programs/2023/organizations/keploy
X.Org Foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)","opengl, vulkan, x11, wayland, DRM","graphics, kernel, drivers",https://www.x.org,https://summerofcode.withgoogle.com/programs/2023/organizations/xorg-foundation
Qdrant,Vector Search Database for the new AI generation.,"python, javascript, rust","databases, machine learning, Search Engines",https://qdrant.tech,https://summerofcode.withgoogle.com/programs/2023/organizations/qdrant
AboutCode,"Scan code for origin, license and vulnerabilities","python, javascript, Django+PostgreSQL, C/Rust/Go","dependencies, vulnerabilities, SoftwareCompositionAnalysis, License, SBOM",https://aboutcode.org,https://summerofcode.withgoogle.com/programs/2023/organizations/aboutcode
GeomScale,Scalable geometric and statistical software,"python, c++, r, jupyter, github-actions","mathematics, data science, computational biology, computational geometry, statistics",https://geomscale.github.io,https://summerofcode.withgoogle.com/programs/2023/organizations/geomscale
FreeType,FreeType is a software library to render fonts.,"c, autotools, meson","library, rendering, fonts, opentype, truetype",https://freetype.org,https://summerofcode.withgoogle.com/programs/2023/organizations/freetype
Oppia Foundation,"Free platform for interactive, tutor-like lessons","python, google app engine, angular, typescript","education, web, community, nonprofit, social impact",https://www.oppia.org,https://summerofcode.withgoogle.com/programs/2023/organizations/oppia-foundation
LibreHealth,Healthcare for Humanity,"python, javascript, android, java, dart/flutter","web, deep learning, hfoss, radiology, mobile apps",https://librehealth.io,https://summerofcode.withgoogle.com/programs/2023/organizations/librehealth
Jina AI,"Multimodal AI from the community, for everyone","python, machine learning, microservices, data science, Multimodel AI","cloud native, neural search, generative AI, Python MLOps Framework, Mulitmodel Data",https://jina.ai/,https://summerofcode.withgoogle.com/programs/2023/organizations/jina-ai-sb
CHIPS Alliance,"Open source IP, tools & standards for ASIC/FPGA","fpga, chisel, risc-v, systemverilog, ASIC","soc, IP cores, ASIC design, HDL, chiplets",https://chipsalliance.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/chips-alliance
Rizin,Rizin reverse engineering framework and toolset,"c, python, go, c++, qt","reverse engineering, computer security, debugging, emulation, disassembly",https://rizin.re,https://summerofcode.withgoogle.com/programs/2023/organizations/rizin
Scala Center,Guide and support the Scala community,"scala, scala.js, scala native","education, compilers, tooling",https://scala-lang.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/scala-center
Software and Computational Systems Lab at LMU Munich,"Software Verification, SAT & SMT solving","python, java","software verification, benchmarking, program analysis, formal methods, SAT & SMT solving",https://www.sosy-lab.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/software-and-computational-systems-lab-at-lmu-munich
Purr Data,Realtime Audio/Visual Programming Environment,"c, javascript, html5, Emscripten","web, graphics, audio, realtime",https://www.purrdata.net/,https://summerofcode.withgoogle.com/programs/2023/organizations/purr-data
OpenMRS,"Write Code, Save Lives.","mysql, javascript, java, reactjs, fhir","platform, frontend, Electronic Medical Record System, QA automation",https://openmrs.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/openmrs
JdeRobot,Toolkit for developing Robotics applications,"python, ros, gazebo, opencv, tensorflow","education, artificial intelligence, robotics, computer vision, developer tools",http://jderobot.github.io,https://summerofcode.withgoogle.com/programs/2023/organizations/jderobot
NumFOCUS,NumFOCUS promotes open source scientific software.,"python, c++, r, julia","data science, graphics, scientific computing, numerical computation",https://numfocus.org,https://summerofcode.withgoogle.com/programs/2023/organizations/numfocus
GNU Project,Development of the GNU Operating System,"c, c++, gcc, autotools","tools, toolchain, command line, OS, binary tools",https://www.gnu.org,https://summerofcode.withgoogle.com/programs/2023/organizations/gnu-project
Global Alliance for Genomics and Health,We develop genomics tools to benefit human health,"python, postgresql, java, react, rust","web, genomics, bioinformatics, genetics, standards",https://ga4gh.org,https://summerofcode.withgoogle.com/programs/2023/organizations/global-alliance-for-genomics-and-health
INCF,An open & FAIR neuroscience standards organization,"python, javascript, java, c++, gpu","machine learning, data visualization, neuroscience, brain modelling, neuroimage processing",https://www.incf.org,https://summerofcode.withgoogle.com/programs/2023/organizations/incf
Machine Learning for Science (ML4SCI),Machine learning applications in science,"python, machine learning, c++, data analysis, artificial intelligence","machine learning, science and medicine, algorithms, physics, astronomy",https://ml4sci.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/machine-learning-for-science-ml4sci
